,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,44577,105292,32199,140588,0,8,3.0,5.1000000000000005,22.9,16.815456989247313,55.95,98.37,81.15782258064516,1,358,136.13844086021504,0.8,11.7,5.672311827956989,9.9,24.9,20.22930107526882,2018,Florida,Miami,United States,25.7751,-80.1947,41.0,73.0,62.26782258064516,50.0,77.0,68.41274193548387,2.6,38.4,18.609947537634408
1,2,39784,128942,27902,155046,0,7,1.0,14.4,22.5,20.050744047619048,62.79,95.2,79.7645386904762,19,351,115.05208333333331,1.0,7.5,4.70639880952381,19.8,26.1,23.81041666666667,2018,Florida,Miami,United States,25.7751,-80.1947,58.0,72.0,68.0913392857143,68.0,79.0,74.85875000000001,3.3,24.6,15.440941470238096
2,3,49949,184430,41156,206990,0,8,1.0,7.0,23.3,16.115053763440862,39.71,95.89,69.88543010752689,1,358,181.4583333333333,0.5,9.2,4.7250000000000005,15.1,27.6,22.04448924731183,2018,Florida,Miami,United States,25.7751,-80.1947,45.0,74.0,61.00709677419356,59.0,82.0,71.6800806451613,1.6,30.2,15.501969
3,4,55254,194484,40702,226039,0,9,1.0,13.1,24.200000000000003,20.20861111111111,46.8,96.34,75.14731944444445,6,355,157.76527777777778,0.7000000000000001,8.3,4.173194444444444,18.0,28.6,25.034305555555555,2018,Florida,Miami,United States,25.7751,-80.1947,56.0,76.0,68.3755,64.0,83.0,77.06175,2.3,27.2,13.691583261111113
4,5,79759,145386,47864,241311,0,9,5.0,18.5,25.8,22.68561827956989,60.28,95.9,83.33706989247311,19,260,114.91666666666669,0.7000000000000001,9.8,5.006451612903226,23.9,28.6,25.79650537634409,2018,Florida,Miami,United States,25.7751,-80.1947,65.0,78.0,72.8341129032258,75.0,83.0,78.43370967741936,2.3,32.2,16.42536670967742
5,6,83107,168057,46957,236294,0,9,4.0,20.9,25.8,24.02041666666667,61.41,91.41,79.33938888888889,1,353,165.9361111111111,0.3,5.2,2.466805555555556,25.9,30.8,27.97763888888889,2018,Florida,Miami,United States,25.7751,-80.1947,70.0,78.0,75.23675,79.0,87.0,82.35975,1.0,17.1,8.09319433888889
6,7,86293,179739,55147,237599,0,9,3.0,21.4,26.6,24.53951612903226,58.51,90.83,77.16048387096774,13,355,144.40725806451613,0.4,6.1000000000000005,2.6946236559139787,27.0,31.9,28.99381720430108,2018,Florida,Miami,United States,25.7751,-80.1947,71.0,80.0,76.17112903225808,81.0,89.0,84.18887096774195,1.3,20.0,8.840629075268819
7,8,70963,187781,46443,228454,0,8,2.0,23.200000000000003,26.0,24.78655913978495,67.74,89.60000000000001,78.60743279569893,15,348,128.32258064516128,0.5,5.800000000000001,3.4418010752688177,27.1,30.4,28.904973118279568,2018,Florida,Miami,United States,25.7751,-80.1947,74.0,79.0,76.61580645161291,81.0,87.0,84.02895161290323,1.6,19.0,11.291998639784948
8,9,56226,160987,35884,201238,0,9,2.0,22.700000000000003,25.8,24.72305555555556,69.34,91.57,79.84284722222222,11,353,120.21944444444443,0.2,11.2,3.421388888888889,26.200000000000003,30.4,28.570416666666667,2018,Florida,Miami,United States,25.7751,-80.1947,73.0,78.0,76.50150000000002,79.0,87.0,83.42675,0.7,36.7,11.225029522222222
9,10,53198,147848,35182,176606,0,8,2.0,17.2,26.6,23.312365591397853,60.1,91.47,78.55256720430107,3,358,111.06182795698923,0.5,8.3,4.625806451612903,21.6,29.6,27.41706989247312,2018,Florida,Miami,United States,25.7751,-80.1947,63.0,80.0,73.96225806451613,71.0,85.0,81.3507258064516,1.6,27.2,15.176530838709676
10,11,43188,111170,28893,140751,0,8,2.0,7.9,24.700000000000003,21.24013888888889,50.54,96.05,79.04004166666667,2,357,140.41666666666666,0.9,9.5,3.9090277777777778,14.5,28.4,25.199305555555554,2018,Florida,Miami,United States,25.7751,-80.1947,46.0,76.0,70.23225,58.0,83.0,77.35875,3.0,31.2,12.824894694444444
11,12,40380,103025,29073,131548,0,8,2.0,11.7,24.1,18.88897849462365,52.61,98.56,79.19219086021505,1,359,164.32930107526883,0.7000000000000001,13.0,5.044489247311828,14.9,27.5,22.77620967741936,2018,Florida,Miami,United States,25.7751,-80.1947,53.0,75.0,66.00016129032258,59.0,82.0,72.99717741935484,2.3,42.7,16.550162102150537
